territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,revenue_yoy_change_pesos,quantity_yoy_change_units,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Cavite,2020-01,2019-01,298.0,171446.59,129831.39,468.0,0.0,171446.59,-170.0,-0.363248,,False
Laguna,2020-01,2019-01,102.0,25910.0,21052.9,803.0,0.0,25910.0,-701.0,-0.872976,,False
Marinduque,2020-01,2019-01,610.0,169020.0,105489.68,396.0,0.0,169020.0,214.0,0.540404,,False
Quezon,2020-01,2019-01,512.0,271519.79,169757.26,839.5,0.0,271519.79,-327.5,-0.390113,,False
Batangas,2020-02,2019-02,170.0,184464.0,130414.22,518.0,0.0,184464.0,-348.0,-0.671815,,False
Camarines Norte,2020-02,2019-02,322.2,260110.0,139905.6,181.6,0.0,260110.0,140.6,0.774229,,False
Camarines Sur,2020-02,2019-02,452.41,191338.99,137262.8,420.12,0.0,191338.99,32.29,0.076859,,False
Cavite,2020-02,2019-02,259.0,139989.99,103899.37,939.24,0.0,139989.99,-680.24,-0.724245,,False
Laguna,2020-02,2019-02,6.0,2096.0,1674.07,588.2,0.0,2096.0,-582.2,-0.989799,,False
Marinduque,2020-02,2019-02,269.0,82267.1,54997.41,138.0,0.0,82267.1,131.0,0.949275,,False
Mindoro,2020-02,2019-02,165.0,11750.0,5635.5,,,,,,,False
Quezon,2020-02,2019-02,612.63,323293.5,210145.31,739.0,0.0,323293.5,-126.37,-0.171001,,False
Batangas,2020-03,2019-03,173.0,179573.0,131146.37,1121.3,0.0,179573.0,-948.3,-0.845715,,False
Camarines Norte,2020-03,2019-03,73.0,-13267.0,10692.39,62.0,0.0,-13267.0,11.0,0.177419,,False
Camarines Sur,2020-03,2019-03,801.38,-56480.35,154779.51,577.0,0.0,-56480.35,224.38,0.388873,,False
Cavite,2020-03,2019-03,264.0,178990.74,127386.38,589.0,0.0,178990.74,-325.0,-0.551783,,False
Laguna,2020-03,2019-03,24.29,25468.0,17296.2,1126.28,0.0,25468.0,-1101.99,-0.978433,,False
Marinduque,2020-03,2019-03,129.0,60949.6,39351.17,651.0,0.0,60949.6,-522.0,-0.801843,,False
