MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2017,,,,,,,,,,,,
,,,,,,,,,,,,
DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,,QTY,TP,TOTAL,NET INCOME
,,,,,,,%,AMOUNT,,,,
13242,2017-05-04,MINDORO,#REF!,11,170,1870,,0,11,67,737,1133
13242,2017-05-04,MINDORO,#REF!,11,170,1870,,0,11,75,825,1045
13242,2017-05-04,MINDORO,#REF!,10,133,1330,,0,10,55,550,780
13243,2017-05-04,MINDORO,#REF!,12,400,4800,,0,12,139.45,1673.3999999999999,3126.6000000000004
13244,2017-05-04,MINDORO,#REF!,10,155,1550,,0,10,48.5,485,1065
13245,2017-05-04,MINDORO,#REF!,5,573,2865,,0,5,310,1550,1315
13246,2017-05-23,BATANGAS,#REF!,2,3200,6400,0.1,640,2,860,1720,4040
13252,2017-05-10,HOSPITAL,#REF!,100,2450,245000,,0,100,880.91,88091,156909
13254,2017-05-10,HOSPITAL,#REF!,700,120,84000,,0,700,25,17500,66500
13255,2017-05-24,HOSPITAL,#REF!,200,750,150000,,0,200,280,56000,94000
13256,2017-05-24,BATANGAS,#REF!,5,500,2500,0.2,500,5,120,600,1400
13301,2017-05-10,BATANGAS,#REF!,13,80,1040,,0,13,24.47,318.11,721.89
13302,2017-05-11,BATANGAS,#REF!,16,300,4800,,0,16,129.7,2075.2,2724.8
13303,2017-05-11,BATANGAS,#REF!,15,100,1500,,0,15,26.93,403.95,1096.05
13304,2017-05-11,BATANGAS,#REF!,20,80,1600,,0,20,22.75,455,1145
13304,2017-05-11,BATANGAS,#REF!,2,150,300,,0,2,55,110,190
13305,2017-05-11,BATANGAS,#REF!,1,3200,3200,,0,1,860,860,2340
13306,2017-05-11,BATANGAS,#REF!,2,780,1560,0.1,156,2,227.5,455,949
13307,2017-05-11,BATANGAS,#REF!,4,480,1920,0.1,192,4,139.45,557.8,1170.2
13308,2017-05-11,BATANGAS,#REF!,10,80,800,0.1,80,10,23.45,234.5,485.5
