source_workbook,source_sheet,source_row_number,date_delivered,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes
2025s.csv,2025-11-29,3499,2025-11-29,Government,"PAGBILAO # 6,000-1",1,5970,5970,0,5970,3928.26,3928.26,2041.74,0.34,valid,
2025s.csv,2025-11-29,3246,2025-11-29,Government,"PAGBILAO # 652,997.00",1,590021,590021,0,590021,425830,425830,164191,0.28,valid,
2025s.csv,2025-11-29,3253,2025-11-29,Government,"PAGBILAO # 67,060",1,66950,66950,0,66950,38420,38420,28530,0.43,valid,
2025s.csv,2025-11-29,3377,2025-11-29,Government,"PAGBILAO # 7,500",1,7400,7400,0,7400,4869.2,4869.2,2530.8,0.34,valid,
2025s.csv,2025-11-29,3260,2025-11-29,Government,"PAGBILAO # 86,000",1,85810,85810,0,85810,60800,60800,25010,0.29,valid,
2025s.csv,2025-11-29,3251,2025-11-29,Government,"PAGBILAO # 882,000.00",1,875000,875000,0,875000,514500,514500,360500,0.41,valid,
2025s.csv,2025-11-29,3321,2025-11-29,Government,"PAGBILAO # 9,000",1,8940,8940,0,8940,4194,4194,4746,0.53,valid,
2025s.csv,2025-11-29,3248,2025-11-29,Government,"PAGBILAO # 9,100.00",1,8950,8950,0,8950,3890,3890,5060,0.57,valid,
2025s.csv,2025-11-29,3320,2025-11-29,Government,"PPDC # 164,420",1,164052,164052,0,164052,107946.22,107946.22,56105.78,0.34,valid,
2025s.csv,2025-11-29,3267,2025-11-29,Government,"TOURISM # 39,000",1,38850,38850,0,38850,25563.3,25563.3,13286.7,0.34,valid,
2025s.csv,2025-11-29,3318,2025-11-29,Government,"TOURISM # 45,820",1,45550,45550,0,45550,32214.8,32214.8,13335.2,0.29,valid,
2025s.csv,2025-11-29,3319,2025-11-29,Government,"TOURISM # 67,600",1,67456,67456,0,67456,44386.05,44386.05,23069.95,0.34,valid,
2025s.csv,2025-11-29,3266,2025-11-29,Government,"TOURISM # 90,000",1,89000,89000,0,89000,58562,58562,30438,0.34,valid,
2025s.csv,2025-11-29,3540,2025-11-29,Hospital,"QMC # 51,320",1,51240,51240,0,51240,25660,25660,25580,0.5,valid,
2025s.csv,2025-11-29,3363,2025-11-29,Hospital,"QMC # 91,500",1,91130,91130,0,91130,52045,52045,39085,0.43,valid,
2025s.csv,2025-12-04,870,2025-12-04,Hospital,"QMC # 141,140.00",1,28930,28930,0,28930,82365,82365,-53435,-1.85,warning,margin percentage is outside the expected range
2025s.csv,2025-12-13,3380,2025-12-13,Government,"PAGBILAO # 10,620-1",1,10536,10536,0,10536,6410.69,6410.69,4125.31,0.39,valid,
2025s.csv,2025-12-13,3382,2025-12-13,Government,"PAGBILAO # 10,915",1,10832,10832,0,10832,7267.6,7267.6,3564.4,0.33,valid,
2025s.csv,2025-12-13,3693,2025-12-13,Government,"PAGBILAO # 12,500",1,12490,12490,0,12490,7286.71,7286.71,5203.29,0.42,valid,
2025s.csv,2025-12-13,3378,2025-12-13,Government,"PAGBILAO # 4,400",1,4400,4400,0,4400,2520,2520,1880,0.43,valid,
2025s.csv,2025-12-13,3381,2025-12-13,Government,"PAGBILAO # 50,000-1",1,49950,49950,0,49950,32867.1,32867.1,17082.9,0.34,valid,
2025s.csv,2025-12-13,3383,2025-12-13,Government,"PAGBILAO # 642,000",1,640510,640510,0,640510,421455.58,421455.58,219054.42,0.34,valid,
2025s.csv,2025-12-20,3715,2025-12-20,Government,"PAGBILAO # 2,162,681.15",1,736200,736200,0,736200,1096615.8,1096615.8,-360415.8,-0.49,valid,
2025s.csv,2025-12-20,3714,2025-12-20,Government,"PAGBILAO # 2,316,267-1",1,2314000,2314000,0,2314000,1332390,1332390,981610,0.42,valid,
2025s.csv,2025-12-20,3709,2025-12-20,Government,"PAGBILAO # 90,000",1,89700,89700,0,89700,38750,38750,50950,0.57,valid,
